twitter_id,political_affiliation/party,coalition/block
2600310521,Det Konservative Folkeparti,Blue
2229232175,Socialdemokratiet,Red
37190496,Venstre,Blue
16936237,Radikale Venstre,Red
336230832,Venstre,Blue
570267785,Socialdemokratiet,Red
80865374,Socialdemokratiet,Red
23976247,Radikale Venstre,Red
796639873,Alternativet,Red
59780409,Liberal Alliance,Blue
1908688370,Liberal Alliance,Blue
88776050,Socialistisk Folkeparti,Red
541517553,Enhedslisten,Red
3183406487,Alternativet,Red
2567801743,Enhedslisten,Red
1381732842,Socialdemokratiet,Red
2761891817,Enhedslisten,Red
2530385615,Enhedslisten,Red
293499691,Alternativet,Red
2849954041,Socialistisk Folkeparti,Red
2605052558,Venstre,Blue
21848703,Radikale Venstre,Red
729310249,Venstre,Blue
2864948894,KristenDemokraterne,Blue
2182389536,KristenDemokraterne,Blue
822801408,Radikale Venstre,Red
2309780230,Venstre,Blue
1919150862,Radikale Venstre,Red
1371247818,Liberal Alliance,Blue
1580404292,Enhedslisten,Red
2824994874,Radikale Venstre,Red
606561223,Socialdemokratiet,Red
1158432222,Venstre,Blue
731479130,Socialistisk Folkeparti,Red
233962696,Venstre,Blue
773271914,Det Konservative Folkeparti,Blue
1533190272,Dansk Folkeparti,Blue
445723698,Venstre,Blue
79255216,Alternativet,Red
629599274,Venstre,Blue
2833736967,Liberal Alliance,Blue
257497723,KristenDemokraterne,Blue
306700850,Det Konservative Folkeparti,Blue
1094677165,Enhedslisten,Red
3046672058,Alternativet,Red
2202900275,Liberal Alliance,Blue
2854390017,Socialdemokratiet,Red
206741517,Radikale Venstre,Red
33835243,Det Konservative Folkeparti,Blue
94204388,Alternativet,Red
28169016,Alternativet,Red
3092017253,Alternativet,Red
1548755000,Enhedslisten,Red
2890842147,Venstre,Blue
2235993418,Dansk Folkeparti,Blue
2209370675,Socialistisk Folkeparti,Red
2262440332,Socialdemokratiet,Red
525315094,Socialdemokratiet,Red
98354773,Socialdemokratiet,Red
538874885,KristenDemokraterne,Blue
736248253,Venstre,Blue
216678431,Enhedslisten,Red
898731248,Det Konservative Folkeparti,Blue
2734140920,Liberal Alliance,Blue
3050789500,Dansk Folkeparti,Blue
3041516566,Alternativet,Red
2295632469,Dansk Folkeparti,Blue
2740356116,Det Konservative Folkeparti,Blue
736979161,Enhedslisten,Red
2185004255,Socialistisk Folkeparti,Red
37945397,Radikale Venstre,Red
2759727516,Radikale Venstre,Red
51700244,Alternativet,Red
1944851540,Socialdemokratiet,Red
29839354,Liberal Alliance,Blue
14109311,Dansk Folkeparti,Blue
2296204001,Socialdemokratiet,Red
21845467,Liberal Alliance,Blue
2878247043,Enhedslisten,Red
2173972657,Socialdemokratiet,Red
1884621865,Alternativet,Red
2256734469,Liberal Alliance,Blue
1066940420,Radikale Venstre,Red
2152457887,Liberal Alliance,Blue
96221234,Alternativet,Red
2444718215,Dansk Folkeparti,Blue
1877755088,Dansk Folkeparti,Blue
43140974,Socialdemokratiet,Red
1177950253,Venstre,Blue
2818658541,Socialdemokratiet,Red
2573509518,Alternativet,Red
817152956,Dansk Folkeparti,Blue
2984808700,Socialistisk Folkeparti,Red
2319043468,Enhedslisten,Red
55667577,Alternativet,Red
1657633188,Liberal Alliance,Blue
47768920,Enhedslisten,Red
49672488,Enhedslisten,Red
3137873542,Alternativet,Red
2774825607,Socialistisk Folkeparti,Red
323819864,Radikale Venstre,Red
421780366,Radikale Venstre,Red
102798718,Dansk Folkeparti,Blue
573678192,Det Konservative Folkeparti,Blue
298144760,Enhedslisten,Red
700075197,Liberal Alliance,Blue
1355260844,KristenDemokraterne,Blue
2883909916,Socialistisk Folkeparti,Red
58550919,Dansk Folkeparti,Blue
17450631,Alternativet,Red
217836427,Det Konservative Folkeparti,Blue
215456761,Socialistisk Folkeparti,Red
368276673,KristenDemokraterne,Blue
2806864609,Alternativet,Red
545698808,Liberal Alliance,Blue
1862888882,Socialdemokratiet,Red
70348108,Enhedslisten,Red
1308008293,Radikale Venstre,Red
3028323292,Radikale Venstre,Red
1535102756,Socialistisk Folkeparti,Red
67062563,Socialdemokratiet,Red
2712091824,Det Konservative Folkeparti,Blue
70912615,Liberal Alliance,Blue
2757296921,Liberal Alliance,Blue
2758227676,KristenDemokraterne,Blue
62135775,Det Konservative Folkeparti,Blue
1650524881,Socialdemokratiet,Red
62607055,Enhedslisten,Red
2777061257,Liberal Alliance,Blue
11919272,Venstre,Blue
22695562,Socialdemokratiet,Red
84389583,Alternativet,Red
28346324,Socialistisk Folkeparti,Red
2469669116,Venstre,Blue
2232662078,Det Konservative Folkeparti,Blue
3096483250,Socialistisk Folkeparti,Red
3126586324,Dansk Folkeparti,Blue
756911048,Liberal Alliance,Blue
23756613,Radikale Venstre,Red
313532695,Socialistisk Folkeparti,Red
104480228,Liberal Alliance,Blue
17196344,Liberal Alliance,Blue
2302252871,Liberal Alliance,Blue
45861924,Enhedslisten,Red
105582835,Socialistisk Folkeparti,Red
24667913,Enhedslisten,Red
34717297,Socialdemokratiet,Red
3044911888,Dansk Folkeparti,Blue
2586371810,Liberal Alliance,Blue
1225930531,Det Konservative Folkeparti,Blue
2893104329,Socialdemokratiet,Red
26201346,Venstre,Blue
119032080,Alternativet,Red
2238408827,Venstre,Blue
3002813973,Dansk Folkeparti,Blue
2512406215,Venstre,Blue
2420758730,Radikale Venstre,Red
34058353,Radikale Venstre,Red
2874277582,Radikale Venstre,Red
354505882,Socialdemokratiet,Red
1352597324,Radikale Venstre,Red
2812612554,Alternativet,Red
514483376,Det Konservative Folkeparti,Blue
364489680,Liberal Alliance,Blue
26263965,Venstre,Blue
23987241,Venstre,Blue
2495935513,Socialistisk Folkeparti,Red
1964131159,Socialistisk Folkeparti,Red
23838094,Socialistisk Folkeparti,Red
2783799632,Det Konservative Folkeparti,Blue
26735736,Liberal Alliance,Blue
58884557,Socialdemokratiet,Red
600462984,Socialdemokratiet,Red
542624551,Alternativet,Red
2234986533,Socialistisk Folkeparti,Red
35877137,Enhedslisten,Red
2816577366,Socialistisk Folkeparti,Red
718813240,Venstre,Blue
